date,regionnavn,tests,cases,pospct,rm
2020-06-30,Hovedstaden,6771,10,0.001476886722788362,0.0017486408549908362
2020-07-01,Hovedstaden,6554,6,9.1547146780592e-4,0.0018854231609544022
2020-07-02,Hovedstaden,5937,14,0.002358093313121105,0.001993457026042363
2020-07-03,Hovedstaden,5689,11,0.0019335559852346634,0.0017036943133031883
2020-07-04,Hovedstaden,4063,10,0.002461235540241201,0.0016956005518949091
2020-07-05,Hovedstaden,3972,8,0.002014098690835851,0.0019851171041426058
2020-07-06,Hovedstaden,6523,5,7.665184730952016e-4,0.00218751518658035
2020-07-07,Hovedstaden,6337,9,0.0014202303929304087,0.0024815314114298033
2020-07-08,Hovedstaden,6458,19,0.0029420873335397955,0.0028587893080134217
2020-07-09,Hovedstaden,5828,22,0.0037748798901853123,0.0030715614241088006
2020-07-10,Hovedstaden,5762,23,0.00399166955918084,0.0032703391969578313
2020-07-11,Hovedstaden,3920,20,0.00510204081632653,0.003466667513274645
2020-07-12,Hovedstaden,3996,14,0.0035035035035035035,0.00369667349730221
2020-07-13,Hovedstaden,6951,15,0.0021579628830384117,0.003896784758732987
2020-07-14,Hovedstaden,6799,19,0.00279452860714811,0.003797204428583716
2020-07-15,Hovedstaden,6810,31,0.004552129221732746,0.004067342453823782
2020-07-16,Hovedstaden,6376,33,0.005175658720200753,0.004130134082880472
2020-07-17,Hovedstaden,5767,19,0.003294607248135946,0.004258090402150603
2020-07-18,Hovedstaden,4290,30,0.006993006993006993,0.0044257654537371545
2020-07-19,Hovedstaden,4565,18,0.003943044906900329,0.00424300920286608
2020-07-20,Hovedstaden,6877,21,0.0030536571179293295,0.004273633449604881
2020-07-21,Hovedstaden,6804,27,0.003968253968253968,0.0042715788326868126
2020-07-22,Hovedstaden,6722,22,0.0032728354656352274,0.0035381664074751727
2020-07-23,Hovedstaden,6679,36,0.005390028447372361,0.003277484289265858
2020-07-24,Hovedstaden,6402,21,0.0032802249297094657,0.003253870223675516
2020-07-25,Hovedstaden,4841,9,0.0018591200165255113,0.0032199595487642546
2020-07-26,Hovedstaden,5665,12,0.002118270079435128,0.0031626527349907546
2020-07-27,Hovedstaden,7963,23,0.002888358658796936,0.0028451688604427122
